sequence,name,area,camera_type,device_name,host,sdk_port
102,F轴枪机13,赛迪电气/厂房/F轴,枪机,F轴枪机13,10.10.1.159,8000
303,F轴15、16中间枪机,赛迪电气/厂房/F轴,枪机,F轴15、16中间枪机,10.10.0.61,8000
160,D轴枪机12,赛迪电气/厂房/D轴,枪机,D轴枪机12,10.10.1.160,8000
202,D轴枪机13,赛迪电气/厂房/D轴,枪机,D轴枪机13,10.10.1.162,8000
113,D轴枪机15,赛迪电气/厂房/D轴,枪机,D轴枪机15,10.10.1.161,8000
179,D轴枪机14,赛迪电气/厂房/D轴,枪机,D轴枪机14,10.10.1.163,8000
119,D轴枪机16,赛迪电气/厂房/D轴,枪机,D轴枪机16,10.10.1.165,8000
111,D轴枪机17,赛迪电气/厂房/D轴,枪机,D轴枪机17,10.10.1.164,8000
247,E轴枪机13,赛迪电气/厂房/E轴,枪机,E轴枪机13,10.10.1.167,8000
245,E轴枪机14,赛迪电气/厂房/E轴,枪机,E轴枪机14,10.10.1.168,8000
246,E轴枪机15,赛迪电气/厂房/E轴,枪机,E轴枪机15,10.10.1.166,8000
238,E轴枪机16,赛迪电气/厂房/E轴,枪机,E轴枪机16,10.10.1.169,8000
107,E轴枪机17,赛迪电气/厂房/E轴,枪机,E轴枪机17,10.10.1.170,8000
122,F轴枪机14,赛迪电气/厂房/F轴,枪机,F轴枪机14,10.10.1.171,8000
124,F轴枪机15,赛迪电气/厂房/F轴,枪机,F轴枪机15,10.10.1.174,8000
148,F轴枪机17,赛迪电气/厂房/F轴,枪机,F轴枪机17,10.10.1.175,8000
86,F轴枪机18,赛迪电气/厂房/F轴,枪机,F轴枪机18,10.10.1.176,8000
277,电力电子车间11#门枪机,赛迪电气/厂房/D轴,枪机,电力电子车间11#门枪机,10.10.0.58,8000
315,成套车间10号门枪机,赛迪电气/厂房/D轴,枪机,成套车间10号门枪机,10.10.0.56,8000
227,E、F轴之间南面枪机,赛迪电气/厂房/E轴,枪机,E、F轴之间南面枪机,10.10.0.52,8000
144,F轴枪机16,赛迪电气/厂房/F轴,枪机,F轴枪机16,10.10.1.172,8000
206,F轴枪机19,赛迪电气/厂房/F轴,枪机,F轴枪机19,10.10.1.173,8000
197,G轴墙西面枪机01,赛迪电气/厂房/G轴墙西面,枪机,G轴墙西面枪机01,10.10.1.178,8000
156,G轴墙西面枪机02,赛迪电气/厂房/G轴墙西面,枪机,G轴墙西面枪机02,10.10.1.180,8000
101,G轴墙东面枪机01,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机01,10.10.1.179,8000
165,G轴墙西面枪机03,赛迪电气/厂房/G轴墙西面,枪机,G轴墙西面枪机03,10.10.1.196,8000
82,G轴墙东面枪机05,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机05,10.10.1.197,8000
104,G轴墙东面枪机02,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机02,10.10.1.181,8000
56,H、G轴中间枪机01,赛迪电气/厂房/G轴墙东面,枪机,H、G轴中间枪机01,10.10.1.182,8000
140,H轴枪机01,赛迪电气/厂房/H轴,枪机,H轴枪机01,10.10.1.183,8000
127,H轴枪机03,赛迪电气/厂房/H轴,枪机,H轴枪机03,10.10.1.184,8000
93,H轴枪机04,赛迪电气/厂房/H轴,枪机,H轴枪机04,10.10.1.186,8000
91,H轴枪机05,赛迪电气/厂房/H轴,枪机,H轴枪机05,10.10.1.185,8000
171,H轴枪机06,赛迪电气/厂房/H轴,枪机,H轴枪机06,10.10.1.187,8000
192,H轴枪机07,赛迪电气/厂房/H轴,枪机,H轴枪机07,10.10.1.188,8000
216,H、I轴中间枪机01,赛迪电气/厂房/H轴,枪机,H、I轴中间枪机01,10.10.1.124,8000
251,I轴枪机01,赛迪电气/厂房/I轴,枪机,H轴枪机07,10.10.1.189,8000
253,I轴枪机02,赛迪电气/厂房/I轴,枪机,I轴枪机02,10.10.1.190,8000
256,水处理房枪机01,赛迪电气/厂房/功能房,枪机,水处理房枪机01,10.10.1.191,8000
248,水处理房枪机02,赛迪电气/厂房/功能房,枪机,水处理房枪机02,10.10.1.192,8000
153,水处理房枪机03,赛迪电气/厂房/功能房,枪机,水处理房枪机03,10.10.1.193,8000
83,G、F轴中间枪机01,赛迪电气/厂房/G轴墙西面,枪机,G、F轴中间枪机01,10.10.1.177,8000
212,H轴枪机02,赛迪电气/厂房/H轴,枪机,H轴枪机02,10.10.1.126,8000
187,G轴墙东面枪机03,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机03,10.10.1.49,8000
162,G轴墙东面枪机06,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机06,10.10.2.25,8000
79,G轴墙西面枪机04,赛迪电气/厂房/G轴墙西面,枪机,G轴墙西面枪机04,10.10.1.199,8000
114,G轴墙东面枪机07,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机07,10.10.2.24,8000
159,G轴墙东面枪机10,赛迪电气/厂房/G轴墙东面,枪机,IP CAMERA,10.10.1.217,8000
131,G轴墙西面枪机05,赛迪电气/厂房/G轴墙西面,枪机,IP CAMERA,10.10.1.219,8000
152,G轴墙东面枪机11,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机11,10.10.2.22,8000
75,G、H轴之间枪机02,赛迪电气/厂房/G轴墙东面,枪机,G、H轴之间枪机02,10.10.1.201,8000
68,G、H轴之间枪机01,赛迪电气/厂房/G轴墙东面,枪机,G、H轴之间枪机01,10.10.1.202,8000
177,H轴枪机09,赛迪电气/厂房/H轴,枪机,H轴枪机09,10.10.1.203,8000
78,G轴墙东面枪机05-1,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机05-1,10.10.1.194,8000
94,H轴枪机08,赛迪电气/厂房/H轴,枪机,H轴枪机08,10.10.1.204,8000
97,G轴08-09号中间枪机,赛迪电气/厂房/G轴墙东面,枪机,G轴08-09号中间枪机,10.10.1.195,8000
112,HI轴中间过道枪机,赛迪电气/厂房/I轴,枪机,HI轴中间过道枪机,10.10.1.50,8000
157,H轴照I轴08门,赛迪电气/厂房/H轴,枪机,IP CAMERA,10.10.1.205,8000
143,H轴枪机10,赛迪电气/厂房/H轴,枪机,H轴枪机10,10.10.1.207,8000
172,H轴枪机11,赛迪电气/厂房/H轴,枪机,IP CAMERA,10.10.1.206,8000
74,H轴枪机12,赛迪电气/厂房/H轴,枪机,IP CAMERA,10.10.1.208,8000
169,H轴枪机13,赛迪电气/厂房/H轴,枪机,IP CAMERA,10.10.1.209,8000
147,H轴枪机14,赛迪电气/厂房/H轴,枪机,IP CAMERA,10.10.1.211,8000
81,H轴枪机15,赛迪电气/厂房/H轴,枪机,IP CAMERA,10.10.1.210,8000
224,G轴墙东面枪机04,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机04,10.10.2.28,8000
321,G轴墙东面枪机08,赛迪电气/厂房/G轴墙东面,枪机,办公楼三层枪机01,10.10.1.198,8000
105,G轴墙东面枪机09,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机09,10.10.1.200,8000
314,水处理房枪机06,赛迪电气/厂房/功能房,枪机,水处理房枪机06,10.10.0.82,8000
123,水处理房枪机04,赛迪电气/厂房/功能房,枪机,IP CAMERA,10.10.1.212,8000
150,水处理房枪机05,赛迪电气/厂房/功能房,枪机,IP CAMERA,10.10.1.213,8000
125,I轴枪机04,赛迪电气/厂房/I轴,枪机,I轴枪机04,10.10.1.238,8000
215,I轴枪机04,赛迪电气/厂房/I轴,枪机,I轴枪机04,10.10.1.40,8000
249,I轴枪机08,赛迪电气/厂房/I轴,枪机,I轴枪机08,10.10.2.27,8000
220,H、I轴过道枪机02,赛迪电气/厂房/I轴,枪机,H、I轴过道枪机02,10.10.1.237,8000
146,I轴枪机06,赛迪电气/厂房/I轴,枪机,I轴枪机06,10.10.1.123,8000
266,I轴枪机05,赛迪电气/厂房/I轴,枪机,I轴枪机05,10.10.2.42,8000
90,I轴枪机07,赛迪电气/厂房/I轴,枪机,IP CAMERA,10.10.1.215,8000
108,1#低压配电室热成像枪机,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机,10.10.1.236,8000
109,1#低压配电室热成像枪机01,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机,10.10.1.236,8000
175,1#低压配电室热成像枪机02,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机02,10.10.1.231,8000
176,1#低压配电室热成像枪机02,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机02,10.10.1.231,8000
185,1#低压配电室热成像枪机03,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机03,10.10.1.232,8000
186,1#低压配电室热成像枪机03,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机03,10.10.1.232,8000
190,1#低压配电室热成像枪机04,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机04,10.10.1.233,8000
191,1#低压配电室热成像枪机04,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机04,10.10.1.233,8000
58,1#低压配电室热成像枪机05,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机05,10.10.1.234,8000
